x_sin,y_sin,x_cos,y_cos
0.0,0.0,0.0,1.0
0.03157379551346526,0.0316,0.2617993877991494,0.9659
0.06314759102693052,0.0631,0.5235987755982988,0.866
0.09472138654039577,0.0946,0.7853981633974483,0.7071
0.12629518205386103,0.126,1.0471975511965976,0.5
0.1578689775673263,0.1572,1.308996938995747,0.2588
0.18944277308079155,0.1883,1.5707963267948966,0.0
0.2210165685942568,0.2192,1.832595714594046,-0.2588
0.25259036410772207,0.2499,2.0943951023931953,-0.5
0.28416415962118735,0.2804,2.356194490192345,-0.7071
0.3157379551346526,0.3105,2.617993877991494,-0.866
0.3473117506481178,0.3404,2.8797932657906435,-0.9659
0.3788855461615831,0.3699,3.141592653589793,-1.0
0.4104593416750484,0.399,3.4033920413889422,-0.9659
0.4420331371885136,0.4278,3.665191429188092,-0.866
0.47360693270197884,0.4561,3.926990816987241,-0.7071
0.5051807282154441,0.484,4.1887902047863905,-0.5
0.5367545237289094,0.5113,4.45058959258554,-0.2588
0.5683283192423747,0.5382,4.71238898038469,-0.0
0.5999021147558399,0.5646,4.974188368183839,0.2588
0.6314759102693052,0.5903,5.235987755982988,0.5
0.6630497057827704,0.6155,5.497787143782138,0.7071
0.6946235012962356,0.6401,5.759586531581287,0.866
0.7261972968097009,0.664,6.021385919380436,0.9659
0.7577710923231662,0.6873,6.283185307179586,1.0
0.7893448878366315,0.7099,,
0.8209186833500968,0.7318,,
0.8524924788635619,0.7529,,
0.8840662743770272,0.7733,,
0.9156400698904925,0.793,,
0.9472138654039577,0.8118,,
0.978787660917423,0.8298,,
1.0103614564308883,0.847,,
1.0419352519443534,0.8634,,
1.0735090474578188,0.8789,,
1.105082842971284,0.8935,,
1.1366566384847494,0.9072,,
1.1682304339982146,0.9201,,
1.1998042295116798,0.932,,
1.2313780250251452,0.9429,,
1.2629518205386103,0.953,,
1.2945256160520755,0.9621,,
1.326099411565541,0.9702,,
1.357673207079006,0.9774,,
1.3892470025924712,0.9836,,
1.4208207981059366,0.9888,,
1.4523945936194018,0.993,,
1.4839683891328672,0.9962,,
1.5155421846463324,0.9985,,
1.5471159801597976,0.9997,,
1.578689775673263,1.0,,
1.6102635711867281,0.9992,,
1.6418373667001935,0.9975,,
1.6734111622136587,0.9947,,
1.7049849577271239,0.991,,
1.7365587532405893,0.9863,,
1.7681325487540545,0.9806,,
1.7997063442675196,0.9739,,
1.831280139780985,0.9663,,
1.8628539352944502,0.9577,,
1.8944277308079154,0.9481,,
1.9260015263213808,0.9376,,
1.957575321834846,0.9261,,
1.9891491173483113,0.9138,,
2.0207229128617765,0.9005,,
2.0522967083752417,0.8863,,
2.083870503888707,0.8712,,
2.1154442994021725,0.8553,,
2.1470180949156377,0.8385,,
2.178591890429103,0.8209,,
2.210165685942568,0.8025,,
2.241739481456033,0.7832,,
2.273313276969499,0.7632,,
2.304887072482964,0.7424,,
2.336460867996429,0.7209,,
2.3680346635098943,0.6987,,
2.3996084590233595,0.6758,,
2.4311822545368247,0.6521,,
2.4627560500502903,0.6279,,
2.4943298455637555,0.603,,
2.5259036410772207,0.5775,,
2.557477436590686,0.5515,,
2.589051232104151,0.5249,,
2.6206250276176166,0.4977,,
2.652198823131082,0.4701,,
2.683772618644547,0.442,,
2.715346414158012,0.4135,,
2.7469202096714773,0.3845,,
2.7784940051849425,0.3552,,
2.810067800698408,0.3255,,
2.8416415962118733,0.2955,,
2.8732153917253385,0.2652,,
2.9047891872388036,0.2346,,
2.936362982752269,0.2038,,
2.9679367782657344,0.1728,,
2.9995105737791996,0.1416,,
3.031084369292665,0.1103,,
3.06265816480613,0.0789,,
3.094231960319595,0.0473,,
3.1258057558330608,0.0158,,
3.157379551346526,-0.0158,,
3.188953346859991,-0.0473,,
3.2205271423734563,-0.0789,,
3.2521009378869215,-0.1103,,
3.283674733400387,-0.1416,,
3.3152485289138522,-0.1728,,
3.3468223244273174,-0.2038,,
3.3783961199407826,-0.2346,,
3.4099699154542478,-0.2652,,
3.441543710967713,-0.2955,,
3.4731175064811786,-0.3255,,
3.5046913019946437,-0.3552,,
3.536265097508109,-0.3845,,
3.567838893021574,-0.4135,,
3.5994126885350393,-0.442,,
3.630986484048505,-0.4701,,
3.66256027956197,-0.4977,,
3.6941340750754352,-0.5249,,
3.7257078705889004,-0.5515,,
3.7572816661023656,-0.5775,,
3.7888554616158308,-0.603,,
3.8204292571292964,-0.6279,,
3.8520030526427615,-0.6521,,
3.8835768481562267,-0.6758,,
3.915150643669692,-0.6987,,
3.946724439183157,-0.7209,,
3.9782982346966227,-0.7424,,
4.009872030210087,-0.7632,,
4.041445825723553,-0.7832,,
4.073019621237019,-0.8025,,
4.104593416750483,-0.8209,,
4.136167212263949,-0.8385,,
4.167741007777414,-0.8553,,
4.199314803290879,-0.8712,,
4.230888598804345,-0.8863,,
4.26246239431781,-0.9005,,
4.294036189831275,-0.9138,,
4.32560998534474,-0.9261,,
4.357183780858206,-0.9376,,
4.388757576371671,-0.9481,,
4.420331371885136,-0.9577,,
4.451905167398602,-0.9663,,
4.483478962912066,-0.9739,,
4.515052758425532,-0.9806,,
4.546626553938998,-0.9863,,
4.578200349452462,-0.991,,
4.609774144965928,-0.9947,,
4.641347940479393,-0.9975,,
4.672921735992858,-0.9992,,
4.704495531506323,-1.0,,
4.736069327019789,-0.9997,,
4.767643122533254,-0.9985,,
4.799216918046719,-0.9962,,
4.830790713560185,-0.993,,
4.862364509073649,-0.9888,,
4.893938304587115,-0.9836,,
4.925512100100581,-0.9774,,
4.957085895614045,-0.9702,,
4.988659691127511,-0.9621,,
5.020233486640976,-0.953,,
5.051807282154441,-0.9429,,
5.083381077667907,-0.932,,
5.114954873181372,-0.9201,,
5.146528668694837,-0.9072,,
5.178102464208302,-0.8935,,
5.209676259721768,-0.8789,,
5.241250055235233,-0.8634,,
5.272823850748698,-0.847,,
5.304397646262164,-0.8298,,
5.335971441775628,-0.8118,,
5.367545237289094,-0.793,,
5.39911903280256,-0.7733,,
5.430692828316024,-0.7529,,
5.46226662382949,-0.7318,,
5.493840419342955,-0.7099,,
5.52541421485642,-0.6873,,
5.556988010369885,-0.664,,
5.588561805883351,-0.6401,,
5.620135601396816,-0.6155,,
5.651709396910281,-0.5903,,
5.683283192423747,-0.5646,,
5.714856987937211,-0.5382,,
5.746430783450677,-0.5113,,
5.7780045789641425,-0.484,,
5.809578374477607,-0.4561,,
5.841152169991073,-0.4278,,
5.872725965504538,-0.399,,
5.904299761018003,-0.3699,,
5.935873556531469,-0.3404,,
5.967447352044934,-0.3105,,
5.999021147558399,-0.2804,,
6.030594943071864,-0.2499,,
6.06216873858533,-0.2192,,
6.093742534098795,-0.1883,,
6.12531632961226,-0.1572,,
6.1568901251257255,-0.126,,
6.18846392063919,-0.0946,,
6.220037716152656,-0.0631,,
6.2516115116661215,-0.0316,,
6.283185307179586,-0.0,,
